category_name,original_text,created_text,name,model_name,prompt_type
3D Printing,"Organize anything with our innovative 3D printable threaded peg boards, updated catalog of designs, and new online STL customizer.","The brand 3D Printing specializes in creating innovative 3D printable products, and their Thread Boards 2.0 project introduces a unique twist to traditional peg boards. These boards are designed to be 3D printable and offer a customizable, modular approach to crafting and organization.",Thread Boards 2.0 | 3D printable peg boards with a twist,marin/marin-8b-instruct,generic
Animation,Alyson confronts her perfectionism as she struggles with her anxiety of never being good enough. Will she ever learn to accept herself?,"Animation is a dynamic medium that brings imagination to life, captivating audiences with visual storytelling, creativity, and emotional resonance. It spans genres, techniques, and styles, from traditional hand-drawn to cutting-edge computer-generated imagery (CGI), serving as a universal language that transcends cultural and linguistic barriers. Alyssum - A 2D Animated Short Film is a project that embodies this essence by presenting a unique narrative through the charming and expressive world of 2D animation. Focused on emotional depth and artistic simplicity, Alyssum utilizes the timeless appeal of 2D visuals to convey its story, highlighting the versatility of animation as a medium that can evoke powerful emotions and engage viewers in a purely visual and auditory experience.",Alyssum - A 2D Animated Short Film,marin/marin-8b-instruct,generic
Animation,"A boy wonders if there might be other people living in the universe. At the same time, an alien boy far away ponders the same question.","The brand Animation is a project by the Marin team, aiming to build foundation models collaboratively and transparently, sharing code, data, and documentation in real-time. Is There Anyone Out There? is an initiative by the Marin project, encouraging contributions to explore new architectures, algorithms, datasets, and evaluations in the field of artificial intelligence.",Is There Anyone Out There?,marin/marin-8b-instruct,generic
Animation,"This will be the world's first feature-length painted animation, brought to you by the Oscar winning studio - BreakThru Films.","The brand Animation, specifically the project Loving Vincent, focuses on bringing Van Gogh's iconic paintings to life by animating them in a style that mimics the artist's unique brushstrokes and vibrant color palette. This ambitious endeavor aims to create a visually stunning and emotionally engaging film that explores Van Gogh's life and work in a fresh and innovative way.",Loving Vincent Film - bring Van Gogh paintings to life,marin/marin-8b-instruct,generic
Animation,A student animated musical short in which a hamster laments about all of the crazy ways that he could possibly die.,"Animation is a dynamic and imaginative medium that brings static images to life through motion and visual storytelling, encompassing diverse styles from traditional hand-drawn techniques to cutting-edge 3D computer-generated imagery. It is a powerful tool for artistic expression, entertainment, education, and communication, captivating audiences across various platforms, including film, television, video games, and digital media. At its core, animation is about creating engaging narratives and characters that resonate with viewers, transcending cultural and linguistic barriers through universal visual language.",Hamstercide: An Animated Musical Short,marin/marin-8b-instruct,generic
Animation,"A film about anger and our inner voices. 14-year old Aaron searches for a way to deal with his bullies, pressure and rising anger.","Animation is a dynamic and creative medium that brings imagination to life by translating concepts, characters, and narratives into moving images and sounds. It's a powerful tool for storytelling, education, entertainment, and artistic expression, encompassing various styles, techniques, and genres. Release the Beast: An Animated Short Film is a project that explores a specific theme or story through this medium, likely focusing on character development, emotional depth, and visual innovation to convey its message or entertain its audience.",Release the Beast: An Animated Short Film,marin/marin-8b-instruct,generic
Anthologies,An anthology written by 20 South Asian women and non binary people.,"Anthologies is a brand dedicated to amplifying marginalized voices, and The Consequence of Us is a specific project that publishes South Asian womxn and non-binary writers. This collection features diverse narratives that explore intersectional identities, challenging stereotypes and offering nuanced perspectives on social justice, cultural heritage, and personal resilience.",The Consequence of Us-South Asian womxn & non binary writers,marin/marin-8b-instruct,generic
Anthologies,"Planetside is a full color, 200+ page all-ages sci-fi slice of life comics anthology.","Anthologies is a brand that represents a collection of stories, often from diverse voices and genres, encapsulating the human experience through narrative. The Planetside Anthology, as a project under this brand, focuses on speculative fiction, exploring the infinite possibilities of the cosmos and human civilization across planets. It aims to inspire wonder, foster creativity, and provide a platform for emerging and established authors to share their visions of the future, offering readers a rich tapestry of worlds beyond our own.",Planetside Anthology,marin/marin-8b-instruct,generic
Anthologies,The Samhain Shade returns with a second collection of ghoulish tales. Join him and the Mythoverse in celebrating the Halloween Season!,"Anthologies is a brand dedicated to curating and sharing creative narratives, fostering a community of writers and readers through its literary projects. Hallowed Harvest Volume 2, an anthology by Anthologies, presents a collection of stories, poems, and essays that explore themes of gratitude, harvest, and the spiritual significance of the fall season. This volume aims to celebrate the beauty and abundance of the natural world, offering readers a blend of fiction and non-fiction that reflects on the interconnectedness of nature, human experience, and the cycles of life.",Hallowed Harvest Volume 2,marin/marin-8b-instruct,generic
Anthologies,"Exclusive to Kickstarter - the limited Hardcover edition of the ""Becoming Who We Are"" anthology.","Anthologies is a brand dedicated to sharing authentic, personal stories and experiences through various mediums. Their project, *Becoming Who We Are: Real Stories About Growing Up Trans*, focuses on amplifying the voices of transgender youth, offering a platform for them to narrate their journeys of self-discovery and acceptance. This initiative aims to foster understanding, empathy, and inclusivity by highlighting the diverse experiences of transgender individuals during their formative years.",Becoming Who We Are: Real Stories About Growing Up Trans,marin/marin-8b-instruct,generic
